month,segment_key,share,required_saos,effective_asp,effective_cw_rate,projected_pipeline,projected_bookings,projected_deals,capacity_flag,weighted_roi,in_window_factor,in_window_bookings,deferred_bookings,product,channel,period
4,Payroll.Outbound,0.03,165.31322505800472,15000.0,0.1,2479698.375870071,247969.8375870071,17,0,1500.0,1.0,247969.8375870071,0.0,Payroll,Outbound,4
4,Payroll.Partner,0.03,165.31322505800472,20000.0,0.15,3306264.5011600945,495939.6751740142,25,0,3000.0,1.0,495939.6751740142,0.0,Payroll,Partner,4
5,CM.Marketing,0.03,130.63167673014402,5000.0,0.35,653158.3836507201,228605.43427775204,46,0,1750.0,1.0,228605.43427775204,0.0,CM,Marketing,5
5,CM.Outbound,0.03,130.63167673014402,7000.0,0.15,914421.737111008,137163.2605666512,20,0,1050.0,1.0,137163.2605666512,0.0,CM,Outbound,5
5,CM.Partner,0.03,130.63167673014402,8000.0,0.2,1045053.4138411522,209010.68276823044,26,0,1600.0,1.0,209010.68276823044,0.0,CM,Partner,5
5,EOR.Marketing,0.4,1741.7556897352538,7500.0,0.52,13063167.673014404,6792847.189967491,906,0,3900.0,1.0,6792847.189967491,0.0,EOR,Marketing,5
5,EOR.Outbound,0.07,304.8072457036694,12500.0,0.24,3810090.571295868,914421.7371110084,73,0,3000.0,1.0,914421.7371110084,0.0,EOR,Outbound,5
5,EOR.Partner,0.3499999999999997,1524.036228518346,11250.0,0.2799999999999999,17145407.570831392,4800714.1198327895,427,0,3149.9999999999995,1.0,4800714.1198327895,0.0,EOR,Partner,5
5,Payroll.Marketing,0.03,130.63167673014402,12000.0,0.25,1567580.1207617284,391895.0301904321,33,0,3000.0,1.0,391895.0301904321,0.0,Payroll,Marketing,5
5,Payroll.Outbound,0.03,130.63167673014402,15000.0,0.1,1959475.1509521604,195947.51509521605,13,0,1500.0,1.0,195947.51509521605,0.0,Payroll,Outbound,5
5,Payroll.Partner,0.03,130.63167673014402,20000.0,0.15,2612633.5346028805,391895.030190432,20,0,3000.0,1.0,391895.030190432,0.0,Payroll,Partner,5
6,CM.Marketing,0.03,139.27576601671316,5000.0,0.35,696378.8300835658,243732.590529248,49,0,1750.0,1.0,243732.590529248,0.0,CM,Marketing,6
6,CM.Outbound,0.03,139.27576601671316,7000.0,0.15,974930.362116992,146239.5543175488,21,0,1050.0,1.0,146239.5543175488,0.0,CM,Outbound,6
6,CM.Partner,0.03,139.27576601671316,8000.0,0.2,1114206.1281337054,222841.22562674107,28,0,1600.0,1.0,222841.22562674107,0.0,CM,Partner,6
6,EOR.Marketing,0.4,1857.0102135561756,7500.0,0.52,13927576.601671318,7242339.832869085,966,0,3900.0,1.0,7242339.832869085,0.0,EOR,Marketing,6
6,EOR.Outbound,0.06,278.5515320334264,12500.0,0.24,3481894.15041783,835654.5961002791,67,0,3000.0,1.0,835654.5961002791,0.0,EOR,Outbound,6
6,EOR.Partner,0.3599999999999997,1671.309192200557,11250.0,0.2799999999999999,18802228.412256267,5264623.955431754,468,0,3149.9999999999995,1.0,5264623.955431754,0.0,EOR,Partner,6
6,Payroll.Marketing,0.03,139.27576601671316,12000.0,0.25,1671309.192200558,417827.2980501395,35,0,3000.0,1.0,417827.2980501395,0.0,Payroll,Marketing,6
6,Payroll.Outbound,0.03,139.27576601671316,15000.0,0.1,2089136.4902506976,208913.64902506975,14,0,1500.0,1.0,208913.64902506975,0.0,Payroll,Outbound,6
6,Payroll.Partner,0.03,139.27576601671316,20000.0,0.15,2785515.320334263,417827.29805013945,21,0,3000.0,1.0,417827.29805013945,0.0,Payroll,Partner,6
7,CM.Marketing,0.03,165.31322505800472,5000.0,0.35,826566.1252900236,289298.14385150827,58,0,1750.0,1.0,289298.14385150827,0.0,CM,Marketing,7
7,CM.Outbound,0.03,165.31322505800472,7000.0,0.15,1157192.575406033,173578.88631090496,25,0,1050.0,1.0,173578.88631090496,0.0,CM,Outbound,7
7,CM.Partner,0.03,165.31322505800472,8000.0,0.2,1322505.8004640378,264501.16009280755,33,0,1600.0,1.0,264501.16009280755,0.0,CM,Partner,7
