sao_month,booking_month,segment_key,product,delay_months,probability,sao_bookings,realized_bookings,in_window
4,4,CM.Outbound,CM,0,0.4,173578.88631090493,69431.55452436197,True
4,5,CM.Outbound,CM,1,0.35,173578.88631090493,60752.61020881672,True
4,6,CM.Outbound,CM,2,0.15,173578.88631090493,26036.83294663574,True
4,7,CM.Outbound,CM,3,0.1,173578.88631090493,17357.888631090493,True
4,4,CM.Partner,CM,0,0.4,264501.16009280755,105800.46403712302,True
4,5,CM.Partner,CM,1,0.35,264501.16009280755,92575.40603248264,True
4,6,CM.Partner,CM,2,0.15,264501.16009280755,39675.17401392113,True
4,7,CM.Partner,CM,3,0.1,264501.16009280755,26450.116009280755,True
4,4,EOR.Marketing,EOR,0,0.1,8596287.703016246,859628.7703016247,True
4,5,EOR.Marketing,EOR,1,0.3,8596287.703016246,2578886.3109048735,True
4,6,EOR.Marketing,EOR,2,0.4,8596287.703016246,3438515.0812064987,True
4,7,EOR.Marketing,EOR,3,0.2,8596287.703016246,1719257.5406032493,True
4,4,EOR.Outbound,EOR,0,0.1,826566.1252900235,82656.61252900236,True
4,5,EOR.Outbound,EOR,1,0.3,826566.1252900235,247969.83758700703,True
4,6,EOR.Outbound,EOR,2,0.4,826566.1252900235,330626.45011600945,True
4,7,EOR.Outbound,EOR,3,0.2,826566.1252900235,165313.22505800473,True
4,4,EOR.Partner,EOR,0,0.1,6422418.793503477,642241.8793503478,True
4,5,EOR.Partner,EOR,1,0.3,6422418.793503477,1926725.638051043,True
4,6,EOR.Partner,EOR,2,0.4,6422418.793503477,2568967.517401391,True
4,7,EOR.Partner,EOR,3,0.2,6422418.793503477,1284483.7587006956,True
4,4,Payroll.Marketing,Payroll,0,0.5,495939.67517401406,247969.83758700703,True
4,5,Payroll.Marketing,Payroll,1,0.3,495939.67517401406,148781.9025522042,True
4,6,Payroll.Marketing,Payroll,2,0.2,495939.67517401406,99187.93503480282,True
4,4,Payroll.Outbound,Payroll,0,0.5,247969.83758700706,123984.91879350353,True
4,5,Payroll.Outbound,Payroll,1,0.3,247969.83758700706,74390.95127610212,True
4,6,Payroll.Outbound,Payroll,2,0.2,247969.83758700706,49593.96751740141,True
4,4,Payroll.Partner,Payroll,0,0.5,495939.675174014,247969.837587007,True
4,5,Payroll.Partner,Payroll,1,0.3,495939.675174014,148781.9025522042,True
4,6,Payroll.Partner,Payroll,2,0.2,495939.675174014,99187.93503480281,True
5,5,CM.Marketing,CM,0,0.4,228605.43427775204,91442.17371110083,True
5,6,CM.Marketing,CM,1,0.35,228605.43427775204,80011.90199721321,True
5,7,CM.Marketing,CM,2,0.15,228605.43427775204,34290.8151416628,True
5,8,CM.Marketing,CM,3,0.1,228605.43427775204,22860.543427775207,True
5,5,CM.Outbound,CM,0,0.4,137163.2605666512,54865.30422666049,True
5,6,CM.Outbound,CM,1,0.35,137163.2605666512,48007.14119832792,True
5,7,CM.Outbound,CM,2,0.15,137163.2605666512,20574.48908499768,True
5,8,CM.Outbound,CM,3,0.1,137163.2605666512,13716.326056665122,True
